codUFisica;Period;Energy_SIMEL;Fecha;Year;Month;Day
SOLAR;1;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;2;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;3;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;4;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;5;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;6;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;7;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;8;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;9;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;10;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;11;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;12;0.008000;2021-01-01 00:00:00;2021;1;1
SOLAR;13;8.342000;2021-01-01 00:00:00;2021;1;1
SOLAR;14;18.097000;2021-01-01 00:00:00;2021;1;1
SOLAR;15;12.748000;2021-01-01 00:00:00;2021;1;1
SOLAR;16;1.557000;2021-01-01 00:00:00;2021;1;1
SOLAR;17;0.040000;2021-01-01 00:00:00;2021;1;1
SOLAR;18;10.992000;2021-01-01 00:00:00;2021;1;1
SOLAR;19;0.790000;2021-01-01 00:00:00;2021;1;1
SOLAR;20;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;21;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;22;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;23;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;24;0.000000;2021-01-01 00:00:00;2021;1;1
SOLAR;1;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;2;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;3;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;4;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;5;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;6;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;7;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;8;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;9;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;10;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;11;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;12;4.183000;2021-01-02 00:00:00;2021;1;2
SOLAR;13;14.808000;2021-01-02 00:00:00;2021;1;2
SOLAR;14;15.854000;2021-01-02 00:00:00;2021;1;2
SOLAR;15;17.777000;2021-01-02 00:00:00;2021;1;2
SOLAR;16;22.008000;2021-01-02 00:00:00;2021;1;2
SOLAR;17;21.473000;2021-01-02 00:00:00;2021;1;2
SOLAR;18;16.939000;2021-01-02 00:00:00;2021;1;2
SOLAR;19;2.586000;2021-01-02 00:00:00;2021;1;2
SOLAR;20;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;21;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;22;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;23;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;24;0.000000;2021-01-02 00:00:00;2021;1;2
SOLAR;1;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;2;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;3;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;4;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;5;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;6;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;7;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;8;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;9;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;10;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;11;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;12;0.551000;2021-01-03 00:00:00;2021;1;3
SOLAR;13;11.232000;2021-01-03 00:00:00;2021;1;3
SOLAR;14;14.912000;2021-01-03 00:00:00;2021;1;3
SOLAR;15;17.721000;2021-01-03 00:00:00;2021;1;3
SOLAR;16;22.415000;2021-01-03 00:00:00;2021;1;3
SOLAR;17;26.287000;2021-01-03 00:00:00;2021;1;3
SOLAR;18;16.883000;2021-01-03 00:00:00;2021;1;3
SOLAR;19;3.177000;2021-01-03 00:00:00;2021;1;3
SOLAR;20;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;21;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;22;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;23;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;24;0.000000;2021-01-03 00:00:00;2021;1;3
SOLAR;1;0.000000;2021-01-04 00:00:00;2021;1;4
SOLAR;2;0.000000;2021-01-04 00:00:00;2021;1;4
SOLAR;3;0.000000;2021-01-04 00:00:00;2021;1;4
SOLAR;4;0.000000;2021-01-04 00:00:00;2021;1;4
SOLAR;5;0.000000;2021-01-04 00:00:00;2021;1;4
SOLAR;6;0.000000;2021-01-04 00:00:00;2021;1;4
SOLAR;7;0.000000;2021-01-04 00:00:00;2021;1;4
SOLAR;8;0.000000;2021-01-04 00:00:00;2021;1;4
