FESESION;HORA;VERPREV;ENERGIA;FEULTMOD;CDUSUARIO
2021-01-01 00:00:00;1;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;2;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;3;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;4;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;5;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;6;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;7;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;8;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;9;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;10;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;11;0;4.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;12;0;15.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;13;0;16.4;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;14;0;15.5;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;15;0;16.5;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;16;0;22.5;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;17;0;25.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;18;0;14.5;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;19;0;2.3;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;20;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;21;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;22;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;23;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-01 00:00:00;24;0;0.0;2020-12-31 03:05:23.283;SOLABEN
2021-01-02 00:00:00;1;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;2;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;3;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;4;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;5;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;6;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;7;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;8;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;9;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;10;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;11;1;0.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;12;1;13.8;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;13;1;14.4;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;14;1;13.6;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;15;1;15.5;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;16;1;22.0;2021-01-01 01:13:52.240;SOLABEN
2021-01-02 00:00:00;17;1;26.3;2021-01-01 01:13:52.240;SOLABEN
