;codUFisica;Fecha;Period;Energy_SIMEL
0;SOLAR;2021-01-01;1;0.0
1;SOLAR;2021-01-01;2;0.0
2;SOLAR;2021-01-01;3;0.0
3;SOLAR;2021-01-01;4;0.0
4;SOLAR;2021-01-01;5;0.0
5;SOLAR;2021-01-01;6;0.0
6;SOLAR;2021-01-01;7;0.0
7;SOLAR;2021-01-01;8;0.0
8;SOLAR;2021-01-01;9;0.0
9;SOLAR;2021-01-01;10;0.0
10;SOLAR;2021-01-01;11;0.0
11;SOLAR;2021-01-01;12;0.008
12;SOLAR;2021-01-01;13;8.342
13;SOLAR;2021-01-01;14;18.097
14;SOLAR;2021-01-01;15;12.748
15;SOLAR;2021-01-01;16;1.557
16;SOLAR;2021-01-01;17;0.04
17;SOLAR;2021-01-01;18;10.992
18;SOLAR;2021-01-01;19;0.79
19;SOLAR;2021-01-01;20;0.0
20;SOLAR;2021-01-01;21;0.0
21;SOLAR;2021-01-01;22;0.0
22;SOLAR;2021-01-01;23;0.0
23;SOLAR;2021-01-01;24;0.0
24;SOLAR;2021-01-02;1;0.0
25;SOLAR;2021-01-02;2;0.0
26;SOLAR;2021-01-02;3;0.0
27;SOLAR;2021-01-02;4;0.0
28;SOLAR;2021-01-02;5;0.0
29;SOLAR;2021-01-02;6;0.0
30;SOLAR;2021-01-02;7;0.0
31;SOLAR;2021-01-02;8;0.0
32;SOLAR;2021-01-02;9;0.0
33;SOLAR;2021-01-02;10;0.0
34;SOLAR;2021-01-02;11;0.0
35;SOLAR;2021-01-02;12;4.183
36;SOLAR;2021-01-02;13;14.808
37;SOLAR;2021-01-02;14;15.854
38;SOLAR;2021-01-02;15;17.777
39;SOLAR;2021-01-02;16;22.008
40;SOLAR;2021-01-02;17;21.473
41;SOLAR;2021-01-02;18;16.939
42;SOLAR;2021-01-02;19;2.586
43;SOLAR;2021-01-02;20;0.0
44;SOLAR;2021-01-02;21;0.0
45;SOLAR;2021-01-02;22;0.0
46;SOLAR;2021-01-02;23;0.0
47;SOLAR;2021-01-02;24;0.0
48;SOLAR;2021-01-03;1;0.0
49;SOLAR;2021-01-03;2;0.0
50;SOLAR;2021-01-03;3;0.0
51;SOLAR;2021-01-03;4;0.0
52;SOLAR;2021-01-03;5;0.0
53;SOLAR;2021-01-03;6;0.0
54;SOLAR;2021-01-03;7;0.0
55;SOLAR;2021-01-03;8;0.0
56;SOLAR;2021-01-03;9;0.0
57;SOLAR;2021-01-03;10;0.0
58;SOLAR;2021-01-03;11;0.0
59;SOLAR;2021-01-03;12;0.551
60;SOLAR;2021-01-03;13;11.232
61;SOLAR;2021-01-03;14;14.912
62;SOLAR;2021-01-03;15;17.721
63;SOLAR;2021-01-03;16;22.415
64;SOLAR;2021-01-03;17;26.287
65;SOLAR;2021-01-03;18;16.883
66;SOLAR;2021-01-03;19;3.177
67;SOLAR;2021-01-03;20;0.0
68;SOLAR;2021-01-03;21;0.0
69;SOLAR;2021-01-03;22;0.0
70;SOLAR;2021-01-03;23;0.0
