;FESESION;HORA;VERPREV;ENERGIA
0;2021-01-01;1;0;0.0
1;2021-01-01;2;0;0.0
2;2021-01-01;3;0;0.0
3;2021-01-01;4;0;0.0
4;2021-01-01;5;0;0.0
5;2021-01-01;6;0;0.0
6;2021-01-01;7;0;0.0
7;2021-01-01;8;0;0.0
8;2021-01-01;9;0;0.0
9;2021-01-01;10;0;0.0
10;2021-01-01;11;0;4.0
11;2021-01-01;12;0;15.0
12;2021-01-01;13;0;16.4
13;2021-01-01;14;0;15.5
14;2021-01-01;15;0;16.5
15;2021-01-01;16;0;22.5
16;2021-01-01;17;0;25.0
17;2021-01-01;18;0;14.5
18;2021-01-01;19;0;2.3
19;2021-01-01;20;0;0.0
20;2021-01-01;21;0;0.0
21;2021-01-01;22;0;0.0
22;2021-01-01;23;0;0.0
23;2021-01-01;24;0;0.0
24;2021-01-02;1;1;0.0
25;2021-01-02;2;1;0.0
26;2021-01-02;3;1;0.0
27;2021-01-02;4;1;0.0
28;2021-01-02;5;1;0.0
29;2021-01-02;6;1;0.0
30;2021-01-02;7;1;0.0
31;2021-01-02;8;1;0.0
32;2021-01-02;9;1;0.0
33;2021-01-02;10;1;0.0
34;2021-01-02;11;1;0.0
35;2021-01-02;12;1;13.8
36;2021-01-02;13;1;14.4
37;2021-01-02;14;1;13.6
38;2021-01-02;15;1;15.5
39;2021-01-02;16;1;22.0
40;2021-01-02;17;1;26.3
41;2021-01-02;18;1;12.6
42;2021-01-02;19;1;0.0
43;2021-01-02;20;1;0.0
44;2021-01-02;21;1;0.0
45;2021-01-02;22;1;0.0
46;2021-01-02;23;1;0.0
47;2021-01-02;24;1;0.0
48;2021-01-03;1;2;0.0
49;2021-01-03;2;2;0.0
50;2021-01-03;3;2;0.0
51;2021-01-03;4;2;0.0
52;2021-01-03;5;2;0.0
53;2021-01-03;6;2;0.0
54;2021-01-03;7;2;0.0
55;2021-01-03;8;2;0.0
56;2021-01-03;9;2;0.0
57;2021-01-03;10;2;0.0
58;2021-01-03;11;2;3.4
59;2021-01-03;12;2;14.5
60;2021-01-03;13;2;15.9
61;2021-01-03;14;2;14.4
62;2021-01-03;15;2;16.5
63;2021-01-03;16;2;23.7
64;2021-01-03;17;2;28.1
65;2021-01-03;18;2;15.8
66;2021-01-03;19;2;3.2
67;2021-01-03;20;2;0.0
68;2021-01-03;21;2;0.0
69;2021-01-03;22;2;0.0
70;2021-01-03;23;2;0.0
71;2021-01-03;24;2;0.0
72;2021-01-04;1;2;0.0
73;2021-01-04;2;2;0.0
74;2021-01-04;3;2;0.0
75;2021-01-04;4;2;0.0
76;2021-01-04;5;2;0.0
77;2021-01-04;6;2;0.0
78;2021-01-04;7;2;0.0
79;2021-01-04;8;2;0.0
80;2021-01-04;9;2;0.0
81;2021-01-04;10;2;0.0
82;2021-01-04;11;2;0.0
83;2021-01-04;12;2;0.0
84;2021-01-04;13;2;0.0
85;2021-01-04;14;2;0.0
86;2021-01-04;15;2;0.0
87;2021-01-04;16;2;0.0
88;2021-01-04;17;2;0.0
89;2021-01-04;18;2;0.0
90;2021-01-04;19;2;0.0
91;2021-01-04;20;2;0.0
92;2021-01-04;21;2;0.0
93;2021-01-04;22;2;0.0
94;2021-01-04;23;2;0.0
95;2021-01-04;24;2;0.0
96;2021-01-05;1;2;0.0
97;2021-01-05;2;2;0.0
98;2021-01-05;3;2;0.0
99;2021-01-05;4;2;0.0
100;2021-01-05;5;2;0.0
101;2021-01-05;6;2;0.0
102;2021-01-05;7;2;0.0
103;2021-01-05;8;2;0.0
104;2021-01-05;9;2;0.0
105;2021-01-05;10;2;0.0
106;2021-01-05;11;2;0.0
107;2021-01-05;12;2;0.6
108;2021-01-05;13;2;3.0
109;2021-01-05;14;2;16.5
110;2021-01-05;15;2;18.0
111;2021-01-05;16;2;23.8
112;2021-01-05;17;2;26.5
113;2021-01-05;18;2;15.7
114;2021-01-05;19;2;3.0
115;2021-01-05;20;2;0.0
116;2021-01-05;21;2;0.0
117;2021-01-05;22;2;0.0
118;2021-01-05;23;2;0.0
119;2021-01-05;24;2;0.0
120;2021-01-06;1;3;0.0
121;2021-01-06;2;3;0.0
122;2021-01-06;3;3;0.0
123;2021-01-06;4;3;0.0
124;2021-01-06;5;3;0.0
125;2021-01-06;6;3;0.0
126;2021-01-06;7;3;0.0
127;2021-01-06;8;3;0.0
128;2021-01-06;9;3;0.0
129;2021-01-06;10;3;0.0
