,Period,PREVISION,E_SIMEL,DESVIO,f_PREV_HIGH,f_RUN,Dia_Semana,Es_fin_semana,Año,Mes,Día
25042,1,0.0,0.0,0.0,0,0,3,0,2023,11,15
25043,2,0.0,0.0,0.0,0,0,3,0,2023,11,15
25044,3,0.0,0.0,0.0,0,0,3,0,2023,11,15
25045,4,0.0,0.0,0.0,0,0,3,0,2023,11,15
25046,5,0.0,0.0,0.0,0,0,3,0,2023,11,15
25047,6,0.0,0.0,0.0,0,0,3,0,2023,11,15
25048,7,0.0,0.0,0.0,0,0,3,0,2023,11,15
25049,8,0.0,0.0,0.0,0,0,3,0,2023,11,15
25050,9,0.0,0.0,0.0,0,0,3,0,2023,11,15
25051,10,0.0,0.0,0.0,0,0,3,0,2023,11,15
25052,11,0.0,7.47,-7.47,0,1,3,0,2023,11,15
25053,12,3.9,22.921,-19.021,0,1,3,0,2023,11,15
25054,13,12.7,21.868,-9.168,0,1,3,0,2023,11,15
25055,14,16.9,20.68,-3.780000000000001,0,1,3,0,2023,11,15
25056,15,22.9,5.74,17.159999999999997,1,1,3,0,2023,11,15
25057,16,28.8,3.356,25.444000000000003,1,1,3,0,2023,11,15
25058,17,30.6,2.224,28.376,1,1,3,0,2023,11,15
25059,18,15.7,4.066,11.634,1,1,3,0,2023,11,15
25060,19,0.4,0.008,0.392,1,1,3,0,2023,11,15
25061,20,0.0,0.0,0.0,0,0,3,0,2023,11,15
25062,21,0.0,0.0,0.0,0,0,3,0,2023,11,15
25063,22,0.0,0.0,0.0,0,0,3,0,2023,11,15
25064,23,0.0,0.0,0.0,0,0,3,0,2023,11,15
25065,24,0.0,0.0,0.0,0,0,3,0,2023,11,15
